track_name,artist(s)_name,artist_count,released_day,released_month,released_year,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,streams
Boyfriend,Dove Cameron,1,11,2,2022,3766,0,76,0,102,0,496311364
Andrea,"Buscabulla, Bad Bunny",2,6,5,2022,1195,0,8,30,13,1,344055883
Stay Alive (Prod. SUGA of BTS),Jung Kook,1,11,2,2022,590,5,4,113,20,0,246376690
Dos Mil 16,Bad Bunny,1,6,5,2022,892,3,10,24,11,0,338422004
We Cry Together,"Kendrick Lamar, Taylour Paige",2,13,5,2022,1635,0,4,1,6,0,68895644
Savior,"Kendrick Lamar, Sam Dew, Baby Keem",3,13,5,2022,2291,0,9,0,8,0,86176890
Un Coco,Bad Bunny,1,6,5,2022,1029,28,5,28,9,0,403231558
MAMIII,"Karol G, Becky G",2,10,2,2022,6809,28,151,102,175,5,716591492
Otro Atardecer,"Bad Bunny, The MarÃ¯Â¿Â½Ã¯",2,6,5,2022,1681,7,10,30,13,0,319546754
Worldwide Steppers,Kendrick Lamar,1,13,5,2022,1480,0,1,0,5,0,61739839
Aguacero,Bad Bunny,1,6,5,2022,829,0,4,15,10,0,283359161
Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",3,13,5,2022,2308,0,7,0,7,0,76831876
Un Verano Sin Ti,Bad Bunny,1,6,5,2022,1004,1,8,12,9,0,283332261
ULTRA SOLO,"Polima WestCoast, Pailita",2,14,2,2022,1367,0,48,4,34,1,307752576
EnsÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½ame ,Bad Bunny,1,6,5,2022,1112,3,7,25,12,0,279737940
El ApagÃ¯Â¿Â½,Bad Bunny,1,6,5,2022,1209,0,9,7,14,0,212351890
Dua Lipa,Jack Harlow,1,6,5,2022,1992,0,35,0,3,0,150500965
Agosto,Bad Bunny,1,6,5,2022,897,0,6,20,8,0,246127838
Mr. Morale,"Kendrick Lamar, Tanna Leone",2,13,5,2022,1860,0,1,0,3,0,58687425
That That (prod. & feat. SUGA of BTS),"PSY, Suga",2,29,4,2022,802,0,16,81,23,0,212109195
Light Switch,Charlie Puth,1,19,1,2022,4049,0,119,6,85,1,500340342
RUMBATÃ¯Â¿Â½,Daddy Yankee,1,25,3,2022,1264,0,20,4,52,0,157990698
Alone,Burna Boy,1,4,11,2022,782,2,27,18,32,1,96007391
thought i was playing,"21 Savage, Gunna",2,7,1,2022,807,0,3,0,5,0,60680939
LA INOCENTE,"Feid, Mora",2,1,4,2022,2598,37,28,57,43,8,477033549
You Proof,Morgan Wallen,1,13,5,2022,2128,9,37,88,9,0,367814306
Midnight Rain,Taylor Swift,1,21,10,2022,2612,4,19,29,21,0,433356509
Something in the Orange,Zach Bryan,1,22,4,2022,3282,12,67,84,46,16,449701773
LeÃ¯Â¿Â½,MarÃ¯Â¿Â½Ã¯Â¿Â½lia Mendo,1,9,12,2022,993,4,30,84,88,1,267789608
Late Night Talking,Harry Styles,1,20,5,2022,7461,8,166,42,199,16,743693613
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2,12,2022,6036,88,113,149,245,23,843957510
10:35,"TiÃ¯Â¿Â½Ã¯Â¿Â½sto, Tate M",2,1,11,2022,4942,26,190,104,147,18,325592432
Anti-Hero,Taylor Swift,1,21,10,2022,9082,56,242,142,165,9,999748277
I'm Good (Blue),"Bebe Rexha, David Guetta",2,26,8,2022,12482,80,291,184,537,45,1109433169
Gato de Noche,"Nengo Flow, Bad Bunny",2,22,12,2022,2651,30,21,55,32,3,304118600
Shut Down,BLACKPINK,1,16,9,2022,1524,17,53,120,62,0,482175240
I Ain't Worried,OneRepublic,1,13,5,2022,8431,76,241,127,458,37,1085685420
En Paris,"El Chachito, Junior H",2,24,12,2022,406,5,3,31,2,1,198275403
Punto G,Quevedo,1,4,11,2022,1985,35,34,26,37,5,381161027
No Se Va,Grupo Frontera,1,28,4,2022,924,18,17,80,22,9,404887295
Made You Look,Meghan Trainor,1,21,10,2022,3956,6,142,23,127,3,502574952
DESPECHÃ¯Â¿,ROSALÃ¯Â¿Â½,1,28,7,2022,7613,33,180,90,422,15,782369383
Komang,Raim Laode,1,16,8,2022,158,4,5,6,1,1,137123880
Malas Decisiones,Kenia OS,1,26,10,2022,542,2,23,2,21,0,156214700
Murder In My Mind,Kordhell,1,21,1,2022,2459,20,20,68,50,0,448843705
CAIRO,"Karol G, Ovy On The Drums",2,13,11,2022,2418,26,52,66,55,1,294352144
Calm Down (with Selena Gomez),"RÃ¯Â¿Â½Ã¯Â¿Â½ma, Selena G",2,25,3,2022,7112,77,202,119,318,38,899183384
Neverita,Bad Bunny,1,6,5,2022,2590,30,20,64,35,6,671365962
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",2,3,6,2022,5281,14,94,21,80,15,609293408
Lovezinho,Treyce,1,28,7,2022,242,0,12,2,13,0,70069745
Zona De Perigo,Leo Santana,1,8,12,2022,531,4,20,1,71,2,134294498
Thought You Should Know,Morgan Wallen,1,6,5,2022,968,4,16,53,1,0,203221468
MonotonÃ¯Â¿Â½,"Ozuna, Shakira",2,19,10,2022,3645,15,118,34,150,4,380726517
Hype Boy,NewJeans,1,1,8,2022,892,17,20,119,12,2,363472647
Nobody Gets Me,SZA,1,9,12,2022,2536,6,59,100,58,13,284908316
Kahani Suno 2.0,Kaifi Khalil,1,31,5,2022,162,6,1,10,1,0,156777415
Igualito a Mi ApÃ¯Â¿,"Fuerza Regida, Peso Pluma",2,30,12,2022,265,6,8,84,5,1,158950978
As It Was,Harry Styles,1,31,3,2022,23575,130,403,198,863,46,2513188493
PLAYA DEL INGLÃ¯Â¿Â½,"Myke Towers, Quevedo",2,15,12,2022,1701,15,30,15,34,2,221409663
SPIT IN MY FACE!,ThxSoMch,1,31,10,2022,629,14,32,3,9,0,303216294
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,5,11,2022,86,0,11,101,0,0,139836056
LET GO,Central Cee,1,15,12,2022,2301,20,49,23,110,0,298063749
Miss You,"Robin Schulz, Oliver Tree",2,5,8,2022,5730,10,108,16,197,3,497225336
One Thing At A Time,Morgan Wallen,1,2,12,2022,811,4,11,58,5,0,148469433
Low,SZA,1,9,12,2022,1911,0,23,71,14,0,272377463
LOKERA,"Brray, Rauw Alejandro, Lyanno",3,25,7,2022,3301,30,72,64,64,6,471819764
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,15,12,2022,1845,16,20,8,30,2,223582566
Kill Bill,SZA,1,8,12,2022,8109,77,183,162,161,12,1163093654
PROVENZA,Karol G,1,21,4,2022,6587,34,114,104,147,11,885093467
Slut Me Out,NLE Choppa,1,22,4,2022,816,4,21,4,13,0,190490915
La Bachata,Manuel Turizo,1,26,5,2022,6804,45,139,111,161,15,1214083358
CHORRITO PA LAS ANIMAS,Feid,1,2,12,2022,2321,36,29,65,34,5,345031710
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2,12,2022,2959,16,41,69,38,0,401036314
Snooze,SZA,1,9,12,2022,2839,25,58,156,42,1,399686758
La Jumpa,"Arcangel, Bad Bunny",2,30,11,2022,3794,34,47,77,53,10,538115192
Escapism.,"RAYE, 070 Shake",2,12,10,2022,5129,25,116,84,114,18,532336353
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2,12,2022,2110,58,17,119,19,2,286400165
Obsessed,"Abhijay Sharma, Riar Saab",2,29,9,2022,161,6,10,79,2,0,71007139
Primera Cita,Carin Leon,1,20,4,2022,266,27,6,40,6,6,77309611
Tak Segampang Itu,Anggi Marito,1,2,12,2022,213,6,7,6,0,0,179659294
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,1,12,2022,536,10,10,72,8,3,288101651
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,24,11,2022,995,19,12,117,9,5,463564958
Ditto,NewJeans,1,19,12,2022,1154,22,28,125,11,1,397582059
Que Vuelvas,"Carin Leon, Grupo Frontera",2,9,12,2022,763,26,21,110,21,9,2762
Feliz CumpleaÃ¯Â¿Â½Ã¯Â¿Â½os Fe,Feid,1,19,8,2022,3430,38,45,69,52,4,601863821
Titi Me PreguntÃ¯Â¿,Bad Bunny,1,6,5,2022,9037,42,124,133,139,14,1264310836
Bebe Dame,"Fuerza Regida, Grupo Frontera",2,16,12,2022,849,22,27,129,21,7,367316268
SNAP,Rosa Linn,1,19,3,2022,3202,18,148,80,226,24,726307468
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,17,6,2022,5871,27,81,121,58,1,618885532
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2,12,2022,1682,46,24,90,30,1,276259178
Romantic Homicide,d4vd,1,20,7,2022,2335,23,82,55,50,0,681583126
Nonsense,Sabrina Carpenter,1,15,7,2022,2346,27,69,12,38,8,342897938
Vista Al Mar,Quevedo,1,8,9,2022,1769,34,16,19,21,3,362361576
Players,Coi Leray,1,30,11,2022,4096,6,118,48,143,0,335074782
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,6,5,2022,8870,43,104,120,141,26,1440757818
ceilings,Lizzy McAlpine,1,8,4,2022,3242,9,67,55,48,0,293186992
Miserable Man,David Kushner,1,7,1,2022,788,0,13,0,32,1,124407432
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,24,6,2022,3107,39,38,0,4,0,720434240
Hey Mor,"Ozuna, Feid",2,6,10,2022,4637,38,63,79,89,11,674072710
Karma,Taylor Swift,1,21,10,2022,3818,23,37,55,32,0,404562836
People,Libianca,1,2,12,2022,3506,56,105,64,169,8,373199958
Glimpse of Us,Joji,1,10,6,2022,6330,6,109,42,158,3,988515741
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,16,12,2022,1267,20,41,22,56,4,231332117
golden hour,JVKE,1,15,7,2022,4511,36,70,58,109,18,751134527
Normal,Feid,1,8,7,2022,2461,36,47,66,45,5,459276435
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,6,7,2022,8506,45,94,65,164,14,1356565093
Just Wanna Rock,Lil Uzi Vert,1,17,10,2022,3995,13,72,27,47,0,457184829
Here With Me,d4vd,1,17,7,2022,3246,23,94,85,68,1,635412045
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,22,9,2022,8576,42,216,108,331,26,1230675890
Efecto,Bad Bunny,1,6,5,2022,4004,33,34,65,43,6,1047480053
Yandel 150,"Yandel, Feid",2,20,12,2022,3618,38,47,74,80,14,585695368
Lavender Haze,Taylor Swift,1,21,10,2022,3763,8,51,43,38,10,488386797
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,22,4,2022,2790,30,60,96,71,0,600976848
CUFF IT,BeyoncÃ¯Â¿,1,29,7,2022,7842,10,215,88,330,26,595900742
Bad Habit,Steve Lacy,1,29,6,2022,8186,12,155,72,131,16,822633917
Rich Flex,"Drake, 21 Savage",2,4,11,2022,4657,18,84,84,42,0,573633020
Sem AlianÃ¯Â¿Â½Ã¯Â¿Â½a no ,"MC Xenon, Os Gemeos da Putaria",2,23,12,2022,454,4,6,1,21,0,93587665
Ojitos Lindos,"Bomba EstÃ¯Â¿Â½Ã¯Â¿Â½reo, Bad B",2,6,5,2022,6135,38,71,113,99,13,1133865788
QuÃ¯Â¿Â½Ã¯Â¿Â½ Ago,"Yuridia, Angela Aguilar",2,20,10,2022,660,15,19,59,18,5,236857112
GATÃ¯Â¿Â½Ã¯Â¿Â½,"Maldy, Karol G",2,25,8,2022,3328,13,39,50,57,3,322336177
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",3,17,7,2022,292,6,26,98,4,0,366599607
Sacrifice,The Weeknd,1,7,1,2022,4440,0,81,77,133,0,326792833
"You're On Your Own, Kid",Taylor Swift,1,21,10,2022,2537,2,8,18,20,0,348647203
Is There Someone Else?,The Weeknd,1,7,1,2022,2881,6,13,89,34,0,391251368
Ferrari,"James Hype, Miggy Dela Rosa",2,14,3,2022,7758,28,173,79,175,0,462791599
Shut up My Moms Calling - (Sped Up),Hotel Ugly,1,14,9,2022,713,7,2,4,6,0,181831132
Evergreen (You DidnÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½t Deserve Me A,Omar Apollo,1,8,4,2022,2499,0,70,0,49,0,227918678
Fingers Crossed,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",3,5,1,2022,2235,0,65,7,70,16,349585590
KICK BACK,Kenshi Yonezu,1,12,10,2022,574,4,38,101,26,0,210038833
WORTH NOTHING,"Twisted, Oliver Tree",2,28,9,2022,1612,0,34,54,34,0,213438580
Out of Time,The Weeknd,1,7,1,2022,3711,0,49,88,62,0,339659802
Limbo,Freddie Dredd,1,11,8,2022,688,0,14,1,17,0,199386237
Super Freaky Girl,Nicki Minaj,1,12,8,2022,4827,0,104,17,76,9,428685680
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",3,2,12,2022,1602,0,12,22,12,0,195516622
Rumble,"Skrillex, Flowdan, Fred again..",3,17,1,2022,2849,0,39,45,27,0,78489819
Gatita,Bellakath,1,3,10,2022,1054,0,9,0,15,0,168684524
How Do I Make You Love Me?,The Weeknd,1,7,1,2022,1915,0,7,47,15,0,119238316
Tarot,"Bad Bunny, Jhay Cortez",2,6,5,2022,2482,20,27,77,22,2,608228647
Less Than Zero,The Weeknd,1,7,1,2022,2800,0,18,77,61,0,200660871
Doja,Central Cee,1,20,7,2022,4169,44,57,44,183,1,482257456
Seek & Destroy,SZA,1,9,12,2022,1007,0,5,31,1,0,98709329
Die For You,Joji,1,4,11,2022,1703,0,38,45,36,16,246390068
Love Language,SZA,1,9,12,2022,1127,0,16,63,8,0,110849052
On Time (with John Legend),"John Legend, Metro Boomin",2,2,12,2022,398,0,2,2,6,0,78139948
Too Late,SZA,1,8,12,2022,714,0,0,9,2,0,49262961
TubarÃ¯Â¿Â½Ã¯Â¿Â½o Te,"Dj LK da EscÃ¯Â¿Â½Ã¯Â¿Â½cia, Tchakabum, mc jhenny, M",4,28,9,2022,1003,0,21,0,44,0,116144341
Maroon,Taylor Swift,1,21,10,2022,2304,0,12,16,14,0,317726339
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2,21,10,2022,2415,0,33,57,30,0,323437194
Conceited,SZA,1,9,12,2022,899,0,2,14,2,0,56870689
Smoking on my Ex Pack,SZA,1,9,12,2022,811,0,6,11,3,0,57144458
SPIT IN MY FACE!,ThxSoMch,1,31,10,2022,573,0,1,0,18,0,301869854
Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",2,2,12,2022,880,0,3,7,10,0,110649992
Wild Flower (with youjeen),RM,1,2,12,2022,353,2,2,74,14,0,135611421
Antidepresan,"Mabel Matiz, Mert Demir",2,4,11,2022,313,2,10,6,7,1,136689549
En La De Ella,"Feid, Sech, Jhayco",3,20,10,2022,1320,0,29,26,17,0,133895612
Party,"Bad Bunny, Rauw Alejandro",2,6,5,2022,3185,4,38,64,37,3,614555082
Notice Me,SZA,1,9,12,2022,819,0,14,22,0,0,62019074
F2F,SZA,1,9,12,2022,989,0,5,9,1,0,67540165
Gone Girl,SZA,1,9,12,2022,892,0,3,17,2,0,65362788
Open Arms (feat. Travis Scott),"SZA, Travis Scott",2,8,12,2022,1420,4,13,87,17,0,155653938
SOS,SZA,1,9,12,2022,827,0,6,18,1,0,73981293
Far,SZA,1,9,12,2022,680,0,2,15,1,0,51641685
Special,SZA,1,9,12,2022,906,0,6,21,3,0,88092256
Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",2,9,12,2022,1634,0,16,20,4,0,110073250
Used (feat. Don Toliver),"SZA, Don Toliver",2,8,12,2022,1042,0,7,29,3,0,94005786
Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",2,3,11,2022,1254,6,26,69,73,2,263453310
Blind,SZA,1,9,12,2022,1484,0,22,51,12,0,163284000
Gasoline,The Weeknd,1,7,1,2022,2297,0,11,29,14,0,116903579
DonÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½t Break My,The Weeknd,1,7,1,2022,1184,0,1,5,6,0,63803529
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2,7,1,2022,1178,0,9,10,9,0,91656026
Dawn FM,The Weeknd,1,7,1,2022,811,0,1,8,6,0,53933526
Starry Eyes,The Weeknd,1,7,1,2022,1014,0,1,17,11,0,74601456
"Here We GoÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½ Again (feat. Tyler, the Cr","The Weeknd, Tyler, The Creator",3,7,1,2022,1420,0,7,18,7,0,88103848
Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",4,5,1,2022,759,3,32,0,12,0,236940480
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,1,22,9,2022,2616,0,113,17,208,0,332506354
A Tale By Quincy,The Weeknd,1,7,1,2022,733,0,0,2,2,0,41924466
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,1,28,10,2022,3311,0,129,31,212,1,297328960
Shirt,SZA,1,28,10,2022,3469,0,71,95,31,0,309653982
Boy's a liar,PinkPantheress,1,30,11,2022,1225,0,27,0,28,13,156338624
ANTIFRAGILE,LE SSERAFIM,1,17,10,2022,761,12,23,95,11,0,301051721
Every Angel is Terrifying,The Weeknd,1,7,1,2022,715,0,0,1,2,0,37307967
LÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿,Stromae,1,9,1,2022,2035,0,41,122,394,0,108809090
pushin P (feat. Young Thug),"Young Thug, Future, Gunna",3,7,1,2022,3517,0,54,28,43,0,311395144
Moscow Mule,Bad Bunny,1,6,5,2022,4572,33,74,113,85,9,909001996
Maan Meri Jaan,King,1,12,10,2022,288,6,11,80,1,0,319566866
Besos Moja2,"Wisin & Yandel, ROSALÃ¯Â¿Â½",2,29,9,2022,2460,13,53,7,56,3,309483971
Phantom Regret by Jim,The Weeknd,1,7,1,2022,768,0,1,1,3,0,31959571
About Damn Time,Lizzo,1,15,7,2022,2332,2,0,0,25,0,723894473
Calm Down,RÃ¯Â¿Â½Ã¯,1,9,2,2022,4013,10,107,44,750,22,445763624
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,22,12,2022,138,4,13,78,2,0,1365184
Bejeweled,Taylor Swift,1,21,10,2022,2699,0,39,35,22,2,328207708
Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",3,9,9,2022,852,0,14,1,50,0,174006928
Eu Gosto Assim - Ao Vivo,"Gustavo Mioto, Mari Fernandez",2,16,9,2022,1473,4,27,64,66,1,222612678
Escapism. - Sped Up,"RAYE, 070 Shake",2,25,11,2022,1368,0,12,1,11,0,184308753
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"BTS, Jung Kook, FIFA Sound",3,20,11,2022,889,20,11,78,35,0,323358833
Te Felicito,"Shakira, Rauw Alejandro",2,21,4,2022,4796,9,124,66,212,13,606361689
Best Friends,The Weeknd,1,7,1,2022,1292,0,3,18,14,0,101114984
TV,Billie Eilish,1,21,7,2022,3009,2,68,89,65,0,338564981
How Do I Say Goodbye,Dean Lewis,1,5,8,2022,2163,15,72,97,58,0,284785823
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",6,12,12,2022,130,4,21,79,2,0,140187018
Pink Venom,BLACKPINK,1,19,8,2022,1963,16,57,119,77,1,551305895
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",3,27,4,2022,5491,14,128,84,75,0,556585270
PUNTO 40,"Baby Rasta, Rauw Alejandro",2,22,9,2022,3006,12,54,32,66,2,304079786
Mine (Taylor's Version),Taylor Swift,1,7,7,2023,99,15,21,52,6,1,36912123
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,22,5,2023,182,8,3,88,1,0,54225632
Chemical,Post Malone,1,14,4,2023,2528,39,56,91,59,3,172825906
Say Yes To Heaven,Lana Del Rey,1,17,3,2023,2000,46,49,105,63,1,127567540
Tattoo,Loreen,1,25,2,2023,2988,59,74,102,145,18,201660859
Fast Car,Luke Combs,1,24,3,2023,1446,12,57,97,35,0,157058870
Novo BalanÃ¯Â¿Â½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,19,5,2023,283,7,6,9,26,1,81102253
New Jeans,NewJeans,1,7,7,2023,77,35,8,166,4,4,29562220
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2,6,2023,1051,16,31,37,31,0,109276132
What It Is (Solo Version),Doechii,1,17,3,2023,804,25,29,76,24,0,95131998
OMG,NewJeans,1,2,1,2023,1783,27,26,124,15,1,430977451
Rara Vez,"Taiu, Milo j",2,8,2,2023,893,38,19,23,24,3,248088961
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,10,3,2023,5120,48,161,115,246,9,211050784
Coco Chanel,"Bad Bunny, Eladio Carrion",2,17,3,2023,1962,38,28,89,29,5,250305248
Take Two,BTS,1,9,6,2023,674,47,20,106,25,4,118482347
Queencard,(G)I-DLE,1,15,5,2023,451,33,10,126,7,0,96273746
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,21,6,2023,871,32,25,59,32,5,66902503
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, BeÃ¯Â¿Â½Ã¯",3,12,5,2023,1094,34,40,58,47,8,90839753
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,12,5,2023,2175,23,69,145,69,2,144565150
LUNA,"Junior H, Peso Pluma",2,22,6,2023,201,11,19,117,8,1,55842345
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,11,1,2023,5724,44,119,108,254,29,721975598
LAGUNAS,"Jasiel NuÃ¯Â¿Â½Ã¯Â¿Â½ez, Peso P",2,22,6,2023,58,18,2,106,4,2,39058561
S91,Karol G,1,14,7,2023,525,41,34,115,39,6,16011326
Back To December (Taylor's Version),Taylor Swift,1,7,7,2023,139,17,16,72,5,0,39228929
LALA,Myke Towers,1,23,3,2023,1474,48,48,126,58,14,133716286
vampire,Olivia Rodrigo,1,30,6,2023,1397,113,94,207,91,14,140003974
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,1,6,2023,293,8,5,2,30,2,11956641
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2,6,2023,1945,87,74,182,87,14,115364561
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,31,5,2023,1313,40,17,152,32,11,200647221
I Can See You (TaylorÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½s Version) (From The ,Taylor Swift,1,7,7,2023,516,38,73,119,42,1,52135248
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,22,6,2023,332,26,11,163,10,4,86444842
Like Crazy,Jimin,1,24,3,2023,596,68,8,104,23,2,363369738
Classy 101,"Feid, Young Miko",2,31,3,2023,2610,40,43,100,54,14,335222234
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,13,7,2023,873,104,80,227,95,24,30546883
Cupid - Twin Ver.,Fifty Fifty,1,24,2,2023,2942,77,91,212,78,6,496795686
WHERE SHE GOES,Bad Bunny,1,18,5,2023,3133,50,84,133,87,15,303236322
Sprinter,"Dave, Central Cee",2,1,6,2023,2186,91,67,213,88,17,183706234
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,16,3,2023,3090,50,34,222,43,13,725980112
Daylight,David Kushner,1,14,4,2023,3528,98,80,156,182,24,387570742
Columbia,Quevedo,1,7,7,2023,714,43,25,89,30,13,58149378
fukumean,Gunna,1,15,5,2023,1096,83,60,210,48,11,95217315
Flowers,Miley Cyrus,1,12,1,2023,12211,115,300,215,745,58,1316855716
Super Shy,NewJeans,1,7,7,2023,422,55,37,202,21,5,58255150
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,17,3,2023,2953,44,49,110,66,13,553634067
un x100to,"Bad Bunny, Grupo Frontera",2,17,4,2023,2876,40,41,205,54,12,505671438
MOJABI GHOST,"Tainy, Bad Bunny",2,29,6,2023,859,40,35,109,41,14,61245289
El Merengue,"Marshmello, Manuel Turizo",2,3,3,2023,2114,44,80,75,110,11,223633238
Last Night,Morgan Wallen,1,31,1,2023,2420,19,52,107,15,1,429829812
Rush,Troye Sivan,1,13,7,2023,864,78,71,135,50,1,22581161
Novidade na Ã¯Â¿Â½Ã¯Â¿,"Mc Livinho, DJ Matt D",2,23,6,2023,267,9,9,6,25,2,39709092
CORAZÃ¯Â¿Â½Ã¯Â¿Â½N VA,Maria Becerra,1,22,6,2023,370,20,12,16,18,4,43857627
BABY HELLO,"Rauw Alejandro, Bizarrap",2,23,6,2023,1004,35,42,80,58,3,54266102
Enchanted (Taylor's Version),Taylor Swift,1,7,7,2023,148,24,32,93,8,2,39578178
Overdrive,Post Malone,1,14,7,2023,410,36,36,32,31,1,14780425
BESO,"Rauw Alejandro, ROSALÃ¯Â¿Â½",2,24,3,2023,4053,50,82,121,182,12,357925728
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,3,2,2023,5184,41,154,84,102,14,156338624
TÃ¯Â¿Â½Ã¯Â¿,"dennis, MC Kevin o Chris",2,4,5,2023,731,15,27,17,73,4,111947664
Moonlight,Kali Uchis,1,24,2,2023,2649,42,67,79,57,1,256483385
(It Goes Like) Nanana - Edit,Peggy Gou,1,15,6,2023,2259,59,0,0,109,17,57876440
AMARGURA,Karol G,1,24,2,2023,1133,39,14,71,23,10,153372011
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,6,4,2023,4277,66,145,111,213,11,177740666
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2,6,2023,1298,38,44,64,57,10,107753850
Die For You - Remix,"Ariana Grande, The Weeknd",2,24,2,2023,3408,47,87,86,74,1,518745108
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,23,6,2023,1117,80,82,145,65,16,65156199
El Azul,"Junior H, Peso Pluma",2,10,2,2023,692,25,10,107,6,3,354495408
TQM,Fuerza Regida,1,19,5,2023,584,28,16,159,15,6,176553476
FrÃ¯Â¿Â½Ã¯Â¿Â½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,7,4,2023,672,34,19,108,24,9,188933502
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,1,6,2023,1150,31,22,33,34,7,123122413
TQG,"Karol G, Shakira",2,23,2,2023,4284,49,115,123,184,18,618990393
TULUM,"Peso Pluma, Grupo Frontera",2,28,6,2023,266,34,20,185,13,8,52294266
Dance The Night (From Barbie The Album),Dua Lipa,1,25,5,2023,2988,101,0,0,143,38,127408954
SABOR FRESA,Fuerza Regida,1,22,6,2023,250,26,16,149,10,5,78300654
